,0
0,0.18871342745828473
1,1.4889744170804473
2,1.314343985263246
3,0.030721566952952584
4,0.14020940259031067
5,-0.7671098408061772
6,-1.4990714467987347
7,-2.259027063539086
8,-2.543195292130788
9,-1.5961741557433085
10,-0.7877839532794293
11,-0.8292878175769232
12,-0.8265781123281759
13,-0.3409891021090843
14,-0.08653316900426633
15,0.5033248491151591
16,-0.12546502093189577
17,-0.21326075914627868
18,-0.19076692029564146
19,-0.18297948042878476
20,0.09137896839104567
21,0.16586972261150454
22,0.5007107692962698
23,0.6226676892696547
24,0.8587566623234137
25,0.46530915415570007
26,-0.041994614616397336
27,-0.16752498070312588
28,0.018738475081714
29,0.10771654688895094
30,0.792203956754801
31,0.6311658461398535
32,0.08940132963912972
33,-0.008950668630672743
34,0.08215818144477184
35,0.18988266151741767
36,0.5072522222505982
37,-0.02744591869575781
38,0.681062201637776
39,1.0929425433226818
40,1.2720484595190262
41,2.0769771558990646
42,2.822783822873445
43,4.068049122493443
44,4.16225700270127
45,4.445249679508836
46,3.1268167669205544
47,3.103800103469198
48,3.375729320127264
49,4.116587849673218
50,3.823679837100241
51,3.8105384658652794
52,3.8397532309156808
53,4.516525687513424
54,4.763126698000698
55,5.094951237211814
56,5.011192427569677
57,5.207274457058777
58,5.325146157922376
59,6.070392895112822
60,6.414761816763419
61,8.22911053456966
62,7.886715347912329
63,8.01057636226825
64,8.467295735303658
65,9.265105853828187
66,9.772650518242479
67,9.828635424329612
68,10.145361539441765
69,11.150067591387725
70,11.69517419194653
71,12.593070190198272
72,13.320884309741576
73,14.698731844778816
74,13.877612739407713
75,13.792313451301334
76,14.085438820397195
77,13.727201895336648
78,13.567200573055885
79,13.198162821369106
80,13.946626987027525
81,14.780016116007777
82,14.857343302592046
83,15.313939949868422
84,15.684551616301835
85,16.306692369137537
86,16.731600252413784
87,18.127561480486072
88,18.518998215076124
89,19.981955543579165
90,19.691465619734316
91,18.99682922332769
92,19.12475226843257
93,19.362219125265163
94,19.321022319102894
95,19.505249024209075
96,19.343177672931446
97,19.42793904008736
98,19.389310820506545
99,19.595747458488628
100,19.86296118198907
101,19.711818910043334
102,19.39672862866967
103,19.17974647745772
104,19.78378508469635
105,19.69473946465372
106,19.948334388378075
107,19.920237008498056
108,20.445962876114013
109,20.770648613606895
110,20.753020321660813
111,20.8974129304142
112,20.559267083242727
113,21.289577928811504
114,21.347029420368997
115,21.01635508588219
116,21.90716268561186
117,22.170545947664277
118,22.277498999056764
119,22.336322477197342
120,24.786894871860724
121,25.019596791207483
122,24.9666410882609
123,24.734441218466547
124,25.730813302736145
125,25.33588162185002
126,26.006476575959304
127,25.924910129768158
128,23.160238862618424
129,20.758781492850247
130,21.318719228334054
131,21.44782501565342
132,21.382056974764854
133,21.159199819478907
134,20.659506777416354
135,19.956948216681617
136,19.327768847100497
137,25.019822658759885
138,29.09149319345616
139,32.22077505755353
140,33.954933298732186
141,33.82253866855727
142,32.56055886796591
143,29.589795851874804
144,23.57639105620352
145,19.04391439329609
146,18.049807303987507
147,19.300982200451628
148,24.85079177322572
149,31.15166161678754
150,37.69342601969107
151,43.91806858673115
152,50.57594347021009
153,55.38325039585487
154,58.900638312785624
155,61.22749904935314
156,60.202074982877605
157,60.810280715113024
158,55.07482621153868
159,47.930838235686394
160,34.877925711097376
161,27.493458662821467
162,20.062046615941725
163,14.910564922774014
164,20.707164397848693
165,29.125288474709144
166,31.34184095774659
167,31.145214855701614
168,29.264279801744323
169,24.437756580603356
170,19.87842722945752
171,11.862630496907343
172,12.319665705443335
173,9.920999620700144
174,9.059106057020296
175,7.510783494414741
176,5.99964086437161
177,1.6491953503684553
178,3.0240451104085526
179,5.67840490084264
180,7.934968317517201
181,10.164292426342513
182,11.270281461785881
183,7.73781259860159
184,9.58527796954484
185,9.851727807773516
186,10.263427338630642
187,9.676659502890185
188,8.146878853341601
189,5.31284099223808
190,2.249011816695674
191,1.2554161548726688
192,0.8327921679473181
193,0.442153271566764
194,2.552141955498647
195,3.8645173705512392
196,3.2126336203834382
197,2.1881774109303347
198,1.4220059235975346
199,2.4958504382074675
200,3.120812240595218
201,2.8297843835176177
202,1.9978631424734474
203,3.065046805138588
204,2.9690836138506964
205,2.6459685320366697
206,3.3310202616444604
207,4.244239450546182
208,4.66647309787654
209,3.8227704360018917
210,3.785434824627445
211,3.0245344213246623
212,2.9229287087678957
213,2.009324126894141
214,1.8125030304966898
215,1.5972806577147471
216,1.1210768027889544
217,0.7655004316614714
218,0.34419602913316094
219,0.2622114437644768
220,0.5094252270044894
221,0.801941446410676
222,1.9868387875654683
223,2.6516216028379676
224,2.6109005182487195
225,3.0532071827866116
226,4.217054667007024
227,3.4910333901755366
228,2.7974151682160238
229,2.2041903854765676
230,2.17420660358398
231,2.3104029801929027
232,2.8139060842303802
233,2.359389755208639
234,1.615654652528064
235,1.6137682271446636
236,1.8032113545514772
237,1.864991629473069
238,2.1644544450359793
239,1.6990900125973059
240,2.099965937574366
241,1.7629898356194231
242,4.331545146508954
243,4.265365852280658
244,3.6457306834740444
245,3.4888557101980693
246,3.312052243491599
247,3.0890939066232015
248,2.0342257469305323
249,2.182290066122747
250,3.675732143083104
251,2.987930743283458
252,3.604217767985829
253,2.7987516764660354
254,2.482642335860145
255,2.413268512853503
256,1.8980612512690271
257,1.6376237968140999
258,2.153630380718573
259,0.8158329644032483
260,2.4139907423883304
261,2.6228517562172384
262,3.340479014392662
263,2.6172997677676015
264,2.276149071120755
265,2.8964900568820044
266,2.429696326021306
267,3.7949650338099397
268,2.8347702764197855
269,2.1558014455968033
270,2.676692057391498
271,1.9229892052651558
272,1.992968031485955
273,1.4470096442407339
274,3.388698609580824
275,2.7038531969480877
276,2.011857060384644
277,0.9857248683179151
278,0.9483703826539995
279,0.6817135490266484
280,1.4970705061411922
281,1.4437563077885116
282,0.8348300716107377
283,0.6250462442505351
284,0.3363713076424384
285,0.29237602080328995
286,0.20912596180522186
287,0.8655297042446495
288,1.093803809825046
289,1.105583629202091
290,1.3479284471328206
291,1.5103657774081536
292,0.8282674287388974
293,-0.055494156203025446
294,1.3384042754123537
295,1.5193827273618836
296,1.4481838116134977
297,1.4075678975829198
298,0.9710781471379392
299,0.7368958380150759
